Round,Pick #,Expected Board Slot,Strategy,Option #,Player,Team,Pos,Rank,R,HR,RBI,SB,AVG,OPS,ERA,WHIP,K/9,QS,SV,W
,,,,13,Kerry Carpenter,DET,OF/DH,208,53,20,60,2,0.253,0.783,,,,,,
,,,,14,Jackson Holliday,BAL,2B/SS,210,57,12,44,13,0.251,0.737,,,,,,
,,,,15,Isaac Paredes,HOU,3B,211,65,21,60,1,0.248,0.801,,,,,,

16,181,180,Late power target,1,Shane Baz,BAL,SP,197,,,,,,,4.29,1.33,8.8,13,0,9
,,,,2,Jorge Polanco,NYM,2B/3B/DH,198,58,20,63,5,0.248,0.765,,,,,,
,,,,3,Konnor Griffin,PIT,SS/OF,199,41,9,39,15,0.259,0.714,,,,,,
,,,,4,Dylan Crews,WSH,OF,200,41,12,41,16,0.243,0.716,,,,,,
,,,,5,Munetaka Murakami,CWS,1B/3B,201,75,32,85,8,0.230,0.789,,,,,,
,,,,6,Wilyer Abreu,BOS,OF,202,55,18,57,7,0.250,0.789,,,,,,
,,,,7,Andrew Abbott,CIN,SP,203,,,,,,,4.54,1.31,8.3,13,0,9
,,,,8,Gleyber Torres,DET,2B,204,80,18,66,5,0.260,0.752,,,,,,
,,,,9,Alejandro Kirk,TOR,C,205,54,14,56,1,0.274,0.786,,,,,,
,,,,10,Kazuma Okamoto,TOR,1B/3B,206,61,22,68,3,0.248,0.765,,,,,,
,,,,11,Dennis Santana,PIT,RP,207,,,,,,,4.03,1.32,8.4,0,26,3
,,,,12,Kerry Carpenter,DET,OF/DH,208,53,20,60,2,0.253,0.783,,,,,,
,,,,13,Jackson Holliday,BAL,2B/SS,210,57,12,44,13,0.251,0.737,,,,,,
,,,,14,Isaac Paredes,HOU,3B,211,65,21,60,1,0.248,0.801,,,,,,
,,,,15,Adolis Garcia,PHI,OF,212,59,22,67,10,0.237,0.730,,,,,,

17,204,203,K/9 SP dart,1,Ramon Laureano,SD,OF,221,48,16,52,7,0.243,0.733,,,,,,
,,,,2,Gabriel Moreno,ARI,C,222,48,10,50,4,0.280,0.781,,,,,,
,,,,3,Alec Bohm,PHI,1B/3B,223,61,14,67,3,0.275,0.756,,,,,,
,,,,4,Francisco Alvarez,NYM,C,224,48,18,50,2,0.241,0.778,,,,,,
,,,,5,Sal Frelick,MIL,OF,225,51,8,47,13,0.271,0.727,,,,,,
,,,,6,Andrew Vaughn,MIL,1B,226,55,18,61,1,0.248,0.731,,,,,,
,,,,7,Otto Lopez,MIA,2B/SS,227,52,10,53,13,0.271,0.723,,,,,,
,,,,8,Caleb Durbin,BOS,2B/3B,228,51,9,47,18,0.267,0.746,,,,,,
,,,,9,Samuel Basallo,BAL,C,229,43,16,47,2,0.241,0.747,,,,,,
,,,,10,Xander Bogaerts,SD,SS,230,59,13,59,14,0.270,0.741,,,,,,
,,,,11,Brendan Donovan,SEA,2B/SS/OF,231,69,12,53,6,0.274,0.755,,,,,,
,,,,12,Masyn Winn,STL,SS,232,78,16,68,13,0.261,0.725,,,,,,
,,,,13,Merrill Kelly,ARI,SP,233,,,,,,,4.12,1.31,8.2,15,0,10
